Time,verticalROI1,verticalROI2,verticalROI3,verticalROI4,verticalROI5,verticalROI6,verticalROI7,verticalROI8,verticalROI9,verticalROI10,horizontalROI1,horizontalROI2,horizontalROI3,horizontalROI4,horizontalROI5,horizontalROI6,horizontalROI7,horizontalROI8,horizontalROI9,horizontalROI10
10-33-00,207,0,78,226,479,462,259,477,477,424,386,386,158,204,264,639,635,631,620,542
10-33-00,16,30,135,265,406,204,255,475,479,422,369,371,150,205,248,489,524,639,387,91
10-33-00,23,39,149,283,409,312,119,180,68,479,371,76,117,228,252,490,351,477,396,164
10-33-00,13,32,134,274,409,288,252,479,477,425,367,371,152,211,249,488,524,639,393,90
10-33-00,13,31,135,276,407,278,251,477,479,423,366,370,155,203,248,487,524,639,395,90
10-33-00,13,32,137,277,410,264,249,477,476,424,366,370,156,204,247,487,523,639,396,91
10-33-00,13,31,135,278,411,265,251,476,478,425,367,370,156,210,245,486,523,639,397,90
10-33-00,15,32,136,282,411,281,249,477,477,422,366,369,156,206,247,486,522,639,397,90
10-33-00,13,31,135,281,411,272,250,476,479,420,366,368,156,206,246,485,521,639,399,88
10-33-00,12,30,134,278,413,209,249,477,479,421,366,368,158,205,246,485,522,639,400,88
10-33-00,14,29,135,282,414,191,251,476,476,426,365,365,158,207,249,485,513,638,401,88
10-33-00,12,29,131,287,416,209,250,474,479,424,365,365,155,208,248,483,509,639,403,89
10-33-00,12,29,133,287,418,192,246,475,478,425,363,367,157,209,250,483,518,639,403,88
10-33-00,15,28,134,282,418,342,245,476,478,426,365,361,159,200,249,481,517,639,403,90
10-33-00,15,26,131,289,421,333,246,476,479,421,362,366,159,201,251,481,516,639,403,87
10-33-00,11,26,129,285,422,341,245,479,479,422,361,307,154,202,248,479,516,639,403,88
10-33-00,11,24,109,288,423,342,245,476,476,449,361,365,153,207,244,479,513,639,407,392
10-33-00,10,22,106,285,425,355,242,477,475,446,360,359,153,206,248,478,513,639,403,391
10-33-00,8,22,110,297,427,351,241,476,479,421,360,299,158,205,249,477,505,639,402,327
10-33-00,8,19,120,287,428,352,242,473,478,423,359,306,153,207,249,475,504,639,403,327
10-33-00,6,15,105,290,431,356,240,473,477,424,358,303,152,210,246,474,498,639,402,325
10-33-00,2,11,101,292,436,361,238,476,477,426,358,301,153,209,244,471,502,639,403,322
10-33-00,0,2,112,289,439,370,239,475,476,477,358,302,153,204,245,469,499,513,402,392
10-33-00,0,0,96,321,442,372,227,476,479,449,356,310,144,214,246,464,494,509,402,393
10-33-00,0,0,92,317,479,377,234,476,479,424,354,307,144,206,239,460,483,501,403,332
10-33-00,14,0,81,314,479,380,227,475,477,449,353,295,145,206,239,454,483,639,402,396
10-33-00,25,0,76,304,479,479,223,477,479,425,350,306,135,198,232,450,466,639,402,331
10-33-00,46,19,62,300,478,479,226,477,479,427,347,296,130,203,230,437,633,639,402,332
10-33-00,73,41,41,290,476,443,222,475,479,447,344,309,132,206,226,433,635,639,402,392
10-33-00,100,70,47,282,475,427,221,477,479,426,337,312,134,199,224,639,600,639,404,330
10-33-00,130,106,84,254,473,440,222,477,479,426,336,296,129,197,226,639,525,639,405,332
